open,high,low,close,adjusted close,volume,dividend amount,split coefficent
69.0,69.63,65.775,67.53,67.53,15696356.0,0.0,1.0
63.05,67.33,63.02,64.95,64.95,24526887.0,0.0,1.0
61.36,62.6104,61.03,61.41,61.41,10069433.0,0.0,1.0
61.25,61.96,60.225,60.37,60.37,11190785.0,0.0,1.0
58.46,60.08,58.4,59.45,59.45,7153941.0,0.0,1.0
56.87,58.23,56.1897,58.08,58.08,9437916.0,0.0,1.0
55.93,56.305,55.4,56.09,56.09,8665545.0,0.0,1.0
56.46,56.67,55.36,55.93,55.93,9757946.0,0.0,1.0
57.36,57.94,56.44,56.57,56.57,10660215.0,0.0,1.0
59.12,59.264,58.11,58.15,58.15,5415021.0,0.0,1.0
59.91,59.98,58.67,59.56,59.56,7551482.0,0.0,1.0
59.78,60.6,59.69,60.25,60.25,6810115.0,0.0,1.0
59.14,59.525,58.6243,59.48,59.48,5724113.0,0.0,1.0
58.62,59.62,58.61,59.23,59.23,5385324.0,0.5,1.0
59.04,59.865,58.46,59.43,58.9325,7590649.0,0.0,1.0
60.06,60.44,58.71,58.78,58.288,6983876.0,0.0,1.0
59.37,59.86,58.9,59.59,59.0912,6822607.0,0.0,1.0
58.08,59.33,57.91,59.32,58.8234,8208656.0,0.0,1.0
58.94,59.34,58.44,58.51,58.0202,6193746.0,0.0,1.0
59.4,59.95,58.95,59.12,58.6251,5700153.0,0.0,1.0
59.5,60.22,59.2717,59.72,59.2201,5806887.0,0.0,1.0
60.8,60.8,59.21,59.4,58.9028,5698910.0,0.0,1.0
59.63,60.5,59.328,60.47,59.9638,4894071.0,0.0,1.0
58.6,59.9789,58.56,59.42,58.9226,6061370.0,0.0,1.0
59.11,59.5176,58.16,58.23,57.7426,5707955.0,0.0,1.0
58.26,58.97,58.19,58.95,58.4565,5168915.0,0.0,1.0
57.09,58.69,56.92,57.83,57.3459,7143310.0,0.0,1.0
58.43,58.67,57.355,57.84,57.3558,7559198.0,0.0,1.0
57.64,59.095,57.6,58.4,57.9111,8156380.0,0.0,1.0
57.95,57.95,57.05,57.54,57.0583,5784250.0,0.0,1.0
57.6,58.595,57.6,57.94,57.455,5304882.0,0.0,1.0
56.31,57.43,56.11,57.32,56.8402,4911411.0,0.0,1.0
57.18,57.6,56.35,56.71,56.2353,6960880.0,0.0,1.0
58.16,58.375,57.365,57.4,56.9195,6725981.0,0.0,1.0
58.81,59.2278,58.09,58.14,57.6533,6906419.0,0.0,1.0
58.85,59.01,57.96,58.87,58.3772,9784511.0,0.0,1.0
58.51,59.77,57.88,59.57,59.0713,13532251.0,0.0,1.0
57.1,58.675,56.82,58.41,57.921,12278651.0,0.0,1.0
57.2,57.845,56.1,57.48,56.9988,15422691.0,0.0,1.0
58.0,58.61,56.99,57.0,56.5229,10139240.0,0.0,1.0
57.63,58.21,57.55,57.97,57.4847,12955241.0,0.0,1.0
58.13,58.14,57.061,57.4,56.9195,11597085.0,0.0,1.0
59.44,59.645,57.96,58.0,57.5145,10105431.0,0.0,1.0
59.69,60.14,59.21,59.53,59.0317,6259268.0,0.0,1.0
60.43,60.805,59.2796,59.53,59.0317,7801546.0,0.0,1.0
60.45,60.8,59.29,60.24,59.7357,8655172.0,0.0,1.0
61.38,61.99,60.0387,60.45,59.944,8928906.0,0.0,1.0
60.3,61.32,60.18,60.91,60.4001,15721255.0,0.0,1.0
62.01,62.04,59.95,60.28,59.7754,12375668.0,0.0,1.0
62.46,63.06,62.11,62.12,61.6,8171366.0,0.0,1.0
63.47,63.63,62.83,63.21,62.6809,5045042.0,0.0,1.0
62.63,63.61,62.27,63.39,62.8594,5074027.0,0.0,1.0
63.12,63.17,61.89,62.7,62.1751,8198779.0,0.0,1.0
64.06,64.17,63.19,63.47,62.9387,4326130.0,0.0,1.0
64.01,67.3,63.419,63.87,63.3353,8360121.0,0.0,1.0
63.7,64.12,63.43,63.94,63.4048,4961718.0,0.0,1.0
64.82,64.93,63.635,63.72,63.1866,6035360.0,0.0,1.0
65.39,65.71,64.99,65.28,64.7335,5069975.0,0.0,1.0
65.01,65.555,64.9,65.18,64.6344,7119120.0,0.0,1.0
65.85,65.88,64.88,64.9,64.3567,5598577.0,0.0,1.0
64.28,65.68,64.09,65.67,65.1203,4920509.0,0.0,1.0
64.57,64.975,64.05,64.7,64.1584,6557999.0,0.0,1.0
65.83,65.98,64.61,64.99,64.446,6867332.0,0.0,1.0
66.3,67.17,65.07,65.26,64.7137,6957495.0,0.0,1.0
64.9,65.96,64.79,65.71,65.1599,6516521.0,0.0,1.0
63.79,64.97,63.65,64.96,64.4162,6115102.0,0.0,1.0
64.55,65.4,63.92,64.12,63.5833,6644064.0,0.0,1.0
65.54,65.6,63.9,64.4,63.8609,12908895.0,0.0,1.0
63.74,65.41,63.67,64.98,64.4361,9482413.0,0.0,1.0
63.45,64.17,63.02,63.86,63.3254,6137626.0,0.0,1.0
63.79,63.9,62.29,62.94,62.4131,9200682.0,0.0,1.0
63.66,64.145,63.275,64.0,63.4643,4600770.0,0.0,1.0
63.46,64.5842,63.09,64.22,63.6824,6376044.0,0.0,1.0
62.42,63.5,62.23,63.27,62.7404,5593549.0,0.0,1.0
62.86,63.055,62.11,62.57,62.0462,6993393.0,0.0,1.0
64.28,64.99,63.01,63.34,62.8098,6436801.0,0.0,1.0
63.8,64.3474,63.53,63.79,63.256,5138255.0,0.0,1.0
64.11,64.21,63.125,63.78,63.2461,4835956.0,0.5,1.0
63.88,64.77,63.55,64.52,63.4822,5947421.0,0.0,1.0
65.34,65.47,63.75,63.91,62.882,5675769.0,0.0,1.0
65.31,65.63,65.02,65.36,64.3087,5120590.0,0.0,1.0
64.5,65.36,64.12,64.99,63.9447,5780454.0,0.0,1.0
63.95,64.63,63.49,64.58,63.5413,7167461.0,0.0,1.0
62.42,63.9,62.2,63.7,62.6754,6560160.0,0.0,1.0
62.67,63.54,62.37,62.62,61.6128,6741678.0,0.0,1.0
61.4,62.73,61.0,62.65,61.6423,9468786.0,0.0,1.0
62.34,62.74,60.55,61.28,60.2944,10169103.0,0.0,1.0
63.8,64.13,62.43,63.14,62.1244,9396477.0,0.0,1.0
64.32,64.57,63.64,63.92,62.8919,5844599.0,0.0,1.0
65.06,65.4,64.54,64.93,63.8856,5305651.0,0.0,1.0
65.16,65.8,64.56,64.7,63.6593,4695895.0,0.0,1.0
64.97,65.6,64.49,64.56,63.5216,5011611.0,0.0,1.0
64.71,65.27,63.96,64.97,63.925,7033989.0,0.0,1.0
64.0,65.27,63.865,64.42,63.3838,7109127.0,0.0,1.0
63.9,64.12,62.72,63.45,62.4294,7321000.0,0.0,1.0
62.7,64.2,62.42,64.02,62.9903,5680858.0,0.0,1.0
63.81,64.05,62.33,63.18,62.1638,7161119.0,0.0,1.0
64.86,65.26,64.33,64.43,63.3937,5259584.0,0.0,1.0
64.54,64.73,63.28,64.3,63.2658,6063210.0,0.0,1.0
65.91,66.0,64.11,64.49,63.4527,21245639.0,0.0,1.0
